# Hasimoto simple-cubic correction, a=1.0, L=40
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.92913295
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 3.75000000E-01  1.89034773E-01  2.34151775E-06  6.52104690E-06 -1.20124397E-02  9.84235726E-06  1.39535953E-06 -2.06128363E-09  1.54333453E-08  1.80591536E-08
 3.80000000E-01  1.88979222E-01  2.38907326E-06  6.52728293E-06 -1.04433996E-02  9.21641208E-06  1.13444574E-06 -1.97218260E-09  1.40072955E-08  1.68371660E-08
 3.85000000E-01  1.88930928E-01  2.43359046E-06  6.53230288E-06 -9.07932629E-03  8.62592292E-06  9.05418327E-07 -1.89011332E-09  1.26794297E-08  1.56449163E-08
 3.90000000E-01  1.88888941E-01  2.47524385E-06  6.53625740E-06 -7.89344283E-03  8.06963875E-06  7.05061151E-07 -1.81376319E-09  1.14494132E-08  1.44938244E-08
 3.95000000E-01  1.88852439E-01  2.51420133E-06  6.53928181E-06 -6.86247047E-03  7.54620943E-06  5.30429754E-07 -1.74207607E-09  1.03152400E-08  1.33919855E-08
 4.00000000E-01  1.88820704E-01  2.55062381E-06  6.54149738E-06 -5.96617182E-03  7.05422095E-06  3.78834610E-07 -1.67421401E-09  9.27368480E-09  1.23448269E-08
 4.05000000E-01  1.88793114E-01  2.58466494E-06  6.54301257E-06 -5.18695334E-03  6.59222403E-06  2.47824474E-07 -1.60951523E-09  8.32065774E-09  1.13556440E-08
 4.10000000E-01  1.88769127E-01  2.61647107E-06  6.54392416E-06 -4.50952006E-03  6.15875692E-06  1.35169958E-07 -1.54746611E-09  7.45149264E-09  1.04260581E-08
 4.15000000E-01  1.88748273E-01  2.64618118E-06  6.54431838E-06 -3.92057517E-03  5.75236365E-06  3.88475414E-08 -1.48767472E-09  6.66117067E-09  9.55637868E-09
 4.20000000E-01  1.88730142E-01  2.67392702E-06  6.54427181E-06 -3.40855898E-03  5.37160843E-06 -4.29758501E-08 -1.42984295E-09  5.94449772E-09  8.74591329E-09
 4.25000000E-01  1.88714380E-01  2.69983317E-06  6.54385237E-06 -2.96342203E-03  5.01508660E-06 -1.11957579E-07 -1.37375208E-09  5.29623903E-09  7.99321124E-09
 4.30000000E-01  1.88700675E-01  2.72401730E-06  6.54312012E-06 -2.57642769E-03  4.68143310E-06 -1.69593340E-07 -1.31924580E-09  4.71122440E-09  7.29626679E-09
 4.35000000E-01  1.88688761E-01  2.74659034E-06  6.54212807E-06 -2.23998075E-03  4.36932874E-06 -2.17230416E-07 -1.26621300E-09  4.18442379E-09  6.65268036E-09
 4.40000000E-01  1.88678402E-01  2.76765672E-06  6.54092283E-06 -1.94747817E-03  4.07750454E-06 -2.56080189E-07 -1.21458152E-09  3.71100251E-09  6.05978973E-09
 4.45000000E-01  1.88669397E-01  2.78731468E-06  6.53954531E-06 -1.69317959E-03  3.80474468E-06 -2.87229842E-07 -1.16430767E-09  3.28635945E-09  5.51477045E-09
 4.50000000E-01  1.88661566E-01  2.80565650E-06  6.53803128E-06 -1.47209453E-03  3.54988826E-06 -3.11653327E-07 -1.11536552E-09  2.90615296E-09  5.01472458E-09
 4.55000000E-01  1.88654758E-01  2.82276881E-06  6.53641195E-06 -1.27988443E-03  3.31182999E-06 -3.30221578E-07 -1.06774529E-09  2.56631061E-09  4.55673750E-09
 4.60000000E-01  1.88648840E-01  2.83873281E-06  6.53471442E-06 -1.11277754E-03  3.08952022E-06 -3.43711966E-07 -1.02144684E-09  2.26303933E-09  4.13793158E-09
 4.65000000E-01  1.88643693E-01  2.85362464E-06  6.53296214E-06 -9.67494834E-04  2.88196437E-06 -3.52817062E-07 -9.76474316E-10  1.99282236E-09  3.75550153E-09
 4.70000000E-01  1.88639219E-01  2.86751557E-06  6.53117529E-06 -8.41185608E-04  2.68822187E-06 -3.58152708E-07 -9.32836182E-10  1.75241393E-09  3.40674136E-09
 4.75000000E-01  1.88635328E-01  2.88047232E-06  6.52937119E-06 -7.31371576E-04  2.50740479E-06 -3.60265482E-07 -8.90541883E-10  1.53883133E-09  3.08906244E-09
 4.80000000E-01  1.88631947E-01  2.89255730E-06  6.52756458E-06 -6.35898192E-04  2.33867611E-06 -3.59639482E-07 -8.49598310E-10  1.34934353E-09  2.80000748E-09
 4.85000000E-01  1.88629005E-01  2.90382887E-06  6.52576794E-06 -5.52892356E-04  2.18124788E-06 -3.56702655E-07 -8.10011023E-10  1.18145728E-09  2.53725541E-09
 4.90000000E-01  1.88626449E-01  2.91434153E-06  6.52399177E-06 -4.80725652E-04  2.03437920E-06 -3.51832482E-07 -7.71783241E-10  1.03290560E-09  2.29862611E-09
 4.95000000E-01  1.88624225E-01  2.92414625E-06  6.52224479E-06 -4.17982379E-04  1.89737415E-06 -3.45361167E-07 -7.34914865E-10  9.01629107E-10  2.08208109E-09
 5.00000000E-01  1.88622292E-01  2.93329061E-06  6.52053416E-06 -3.63431765E-04  1.76957962E-06 -3.37580342E-07 -6.99399914E-10  7.85768795E-10  1.88572187E-09
